name,R_sun,dR_sun,M_sun,dM_sun,T_eff,dT_eff,log_g,dlog_g,Fe_H,dFe_H
HD189733a,0.7764840,0.0602945,0.82785146527300,0.02879864705055,5052,16,4.580,0.016,0.04078877583520000,0.05726011600684999 
WASP69,0.8180950,0.0267520,0.826,0.029,4700,50,4.4323,0.0977270,0.144,0.077 
WASP39a,0.895,0.023,0.93,0.030,5400,150,4.453,0.012,-0.12,0.1
Cancri55a,0.98,0,1.015,0,5172,0,4.43,0,0.35,0
WASP49a,1.038,0.0666603,1.003,0.1331130,5597,140.405,4.4152600,0.0809966,-0.08,0.070
WASP21,1.136,0,0.890,0,5800,0,4.277,0,-0.46,0
WASP79,1.39,0,1.51,0,6600,0,4.2819500,0,0.030,0
WASP121,1.458,0,1.358,0,6776,0,4.242,0,0.13,0
WASP76,1.458,0,1.744,0,6329,0,4.1233,0,0.366,0
KELT20,1.61744,0,2.282,0,9032,0,4.37873,0,-0.02,0
KELT9,2.28773,0,2.431,0,9550,0,4.105,0,-0.03,0
WASP189,2.36,0,2.03,0,8000,0,4.0128600,0,0.29,0
LHS1140,0.2159,0.0030,0.191,0.012,3216,39,5.041,0.016,-0.15,0.09
HD209458a,1.190,0.020,1.230,0.090,6091,10,4.450,0.020,0.010,0
WASP6a,0.790,0.008,0.854,0.027,5438,50,4.565,0.022,-0.150,0.050
WASP12a,1.690,0.019,1.325,0.026,6265,50,4.110,0.110,0.120,0.070
WASP17a,1.490,0.190,1.200,0.060,6550,100,4.200,0.200,-0.250,0
WASP19a,1.006,0.031,0.965,0.091,5616,66,4.417,0.020,0.040,0.250
WASP31a,1.252,0.033,1.163,0.026,6302,102,4.308,0.020,-0.200,0.090
HATP1a,1.174,0.026,1.151,0.052,5980,49,4.359,0.014,0.130,0.008
HATP12a,0.701,0.017,0.733,0.018,4650,60,4.610,0.010,-0.290,0.050